Radios              Ck
598.165    393.177 - i450.792
173.078    -8.429 + i172.872
60.656    55.864 - i23.631
118.358    -7.948 - i118.091
33.712    -13.642 + i30.829
37.211    -36.479 + i 7.346
 1.909     0.724 - i 1.766
20.380    20.193 - i 2.752
17.580    -6.916 + i16.162
13.373     5.256 - i12.296
18.116     2.885 - i17.885
28.320    -27.851 + i 5.132
 8.121     7.844 - i 2.104
 5.364    -2.212 - i 4.887
 4.242    -3.344 + i 2.610
 3.992     1.302 + i 3.774
 2.867    -0.362 - i 2.844
 8.578    -0.710 + i 8.548
 5.386     0.376 - i 5.373
 4.937     4.917 + i 0.447
 1.752    -1.564 + i 0.790
 0.677     0.248 - i 0.630
 1.521    -0.829 + i 1.275
 0.997    -0.977 - i 0.202
 1.428     1.137 + i 0.864
 1.918    -1.178 + i 1.514
 3.182    -3.123 - i 0.610
 0.659     0.597 + i 0.278
 2.524    -1.120 - i 2.262
 2.596     1.907 + i 1.762
 2.314    -0.717 - i 2.201
 1.379     0.458 + i 1.301
 2.788    -1.270 - i 2.482
 2.540    -2.126 - i 1.390
 3.026    -0.524 - i 2.980
 3.596    -2.622 - i 2.461
 2.557     2.429 - i 0.799
 1.570    -1.089 - i 1.131
 0.512     0.504 - i 0.094
 1.833    -1.387 - i 1.198
 0.769     0.193 - i 0.744
 1.582     0.316 - i 1.550
 1.280     0.810 - i 0.991
 0.192    -0.052 - i 0.185
 0.997     0.255 - i 0.964
 0.814    -0.752 + i 0.310
 1.028    -0.468 + i 0.915
 1.619    -1.589 - i 0.308
 1.752    -1.752 - i 0.030
 0.447    -0.305 + i 0.327
 0.225     0.211 + i 0.080
 0.541    -0.541 + i 0.003
 0.701    -0.220 + i 0.666
 0.826    -0.721 + i 0.402
 1.147    -0.801 + i 0.821
 0.928    -0.784 + i 0.496
 0.688    -0.013 - i 0.688
 0.322     0.299 + i 0.119
 0.777     0.224 + i 0.744
 0.246    -0.144 - i 0.199
 0.651     0.296 - i 0.580
 0.499     0.094 - i 0.490
 0.362    -0.074 - i 0.355
 0.430    -0.219 - i 0.370
 0.407     0.305 - i 0.270
 0.297     0.251 - i 0.158
 0.352     0.107 + i 0.335
 0.595     0.095 + i 0.588
 0.608     0.454 + i 0.404
 0.610    -0.270 + i 0.546
 0.281    -0.035 + i 0.279
 0.364    -0.358 - i 0.069
 0.441    -0.295 - i 0.328
 0.407     0.379 - i 0.149
 0.499     0.203 - i 0.456
 0.186     0.076 - i 0.170
 0.098     0.076 + i 0.062
 0.484     0.315 + i 0.368
 0.659     0.434 + i 0.497
 0.502     0.293 + i 0.408
 0.210     0.178 + i 0.112
 0.424     0.423 - i 0.023
 0.697     0.068 - i 0.694
 0.648     0.178 - i 0.624
 0.511     0.286 - i 0.424
 0.576     0.129 - i 0.561
 0.519     0.482 + i 0.193
 0.167     0.063 - i 0.155
 0.330    -0.114 - i 0.309
 0.152    -0.149 - i 0.029
 0.083     0.024 + i 0.080
 0.096    -0.064 + i 0.071
 0.163    -0.052 - i 0.154
 0.364     0.228 + i 0.284
 0.354     0.207 - i 0.288
 0.608     0.333 + i 0.509
 0.282     0.282 + i 0.016
 0.418    -0.256 + i 0.330
 0.131     0.060 - i 0.117
 0.458    -0.452 - i 0.074
 0.452     0.165 - i 0.421
 0.327    -0.247 - i 0.214
 0.198     0.191 + i 0.050
 0.240    -0.237 + i 0.037
 0.339     0.178 + i 0.288
 0.100     0.015 - i 0.099
 0.401     0.106 - i 0.387
 0.108    -0.099 - i 0.045
 0.152    -0.127 - i 0.084
 0.292    -0.184 + i 0.227
 0.266    -0.035 + i 0.264
 0.190     0.174 + i 0.077
 0.381     0.243 + i 0.293
 0.153     0.134 + i 0.075
 0.256     0.253 - i 0.039
 0.106    -0.026 - i 0.102
 0.297    -0.294 + i 0.041
 0.493    -0.393 + i 0.299
 0.313    -0.003 + i 0.313
 0.298     0.250 + i 0.163
 0.236     0.156 - i 0.177
 0.299     0.068 - i 0.291
 0.343     0.083 - i 0.333
 0.191     0.103 - i 0.161
 0.373     0.366 - i 0.070
 0.247     0.119 - i 0.216
 0.185    -0.090 - i 0.162
 0.159    -0.159 - i 0.014
 0.197    -0.178 + i 0.085
 0.246    -0.215 + i 0.119
 0.139    -0.070 + i 0.121
 0.210    -0.103 + i 0.183
 0.089    -0.079 + i 0.040
 0.124    -0.113 + i 0.050
 0.110     0.010 - i 0.109
 0.115     0.006 - i 0.115
 0.092    -0.079 - i 0.046
 0.198    -0.196 + i 0.023
 0.330    -0.310 + i 0.114
 0.082    -0.006 + i 0.082
 0.113     0.113 - i 0.007
 0.118     0.067 - i 0.097
 0.178     0.096 - i 0.150
 0.065     0.013 - i 0.063
 0.047     0.047 + i 0.001
 0.057     0.052 + i 0.024
 0.090     0.085 - i 0.029
 0.072    -0.046 + i 0.056
 0.144     0.143 + i 0.018
 0.042    -0.004 - i 0.042
 0.100    -0.079 - i 0.062
 0.127    -0.126 - i 0.018
 0.146    -0.123 + i 0.079
 0.065    -0.008 + i 0.065
 0.136    -0.089 - i 0.103
 0.079     0.015 - i 0.078
 0.184     0.055 - i 0.176
 0.159     0.109 + i 0.116
 0.161     0.160 - i 0.018
 0.182     0.161 + i 0.086
 0.169     0.136 - i 0.100
 0.180    -0.099 + i 0.150
 0.080    -0.001 - i 0.080
 0.150    -0.131 + i 0.074
 0.087     0.081 + i 0.032
 0.066     0.053 - i 0.039
 0.119     0.119 + i 0.003
 0.094     0.019 - i 0.092
